name,position,team
49ers D/ST,D/ST,49ers
Bears D/ST,D/ST,Bears
Bengals D/ST,D/ST,Bengals
Bills D/ST,D/ST,Bills
Broncos D/ST,D/ST,Broncos
Browns D/ST,D/ST,Browns
Buccaneers D/ST,D/ST,Buccaneers
Cardinals D/ST,D/ST,Cardinals
Chargers D/ST,D/ST,Chargers
Chiefs D/ST,D/ST,Chiefs
Colts D/ST,D/ST,Colts
Commanders D/ST,D/ST,Commanders
Cowboys D/ST,D/ST,Cowboys
Dolphins D/ST,D/ST,Dolphins
Eagles D/ST,D/ST,Eagles
Falcons D/ST,D/ST,Falcons
Giants D/ST,D/ST,Giants
Jaguars D/ST,D/ST,Jaguars
Jets D/ST,D/ST,Jets
Lions D/ST,D/ST,Lions
Packers D/ST,D/ST,Packers
Panthers D/ST,D/ST,Panthers
Patriots D/ST,D/ST,Patriots
Raiders D/ST,D/ST,Raiders
Rams D/ST,D/ST,Rams
Ravens D/ST,D/ST,Ravens
Saints D/ST,D/ST,Saints
Seahawks D/ST,D/ST,Seahawks
Steelers D/ST,D/ST,Steelers
Texans D/ST,D/ST,Texans
Titans D/ST,D/ST,Titans
Vikings D/ST,D/ST,Vikings
Anders Carlson,K,FA
Andre Szmyt,K,Browns
Andy Borregales,K,Patriots
Austin Seibert,K,FA
Blake Grupe,K,Saints
Brandon Aubrey,K,Cowboys
Brandon McManus,K,Packers
Brayden Narveson,K,FA
Brett Maher,K,FA
Cade York,K,FA
Caden Davis,K,FA
Cairo Santos,K,Bears
Caleb Shudak,K,FA
Cam Little,K,Jaguars
Cameron Dicker,K,Chargers
Chad Ryland,K,Cardinals
Chase McLaughlin,K,Buccaneers
Chris Boswell,K,Steelers
Christopher Dunn,K,FA
Daniel Carlson,K,Raiders
Dustin Hopkins,K,FA
Eddy Pineiro,K,FA
Evan McPherson,K,Bengals
Graham Gano,K,Giants
Greg Joseph,K,FA
Greg Zuerlein,K,FA
Harrison Butker,K,Chiefs
Harrison Mevis,K,FA
Jake Bates,K,Lions
Jake Elliott,K,Eagles
Jake Moody,K,FA
James McCourt,K,FA
Jason Myers,K,Seahawks
Jason Sanders,K,Dolphins
Joey Slye,K,Titans
Jonathan Garibay,K,FA
Joshua Karty,K,Rams
Jude McAtamney,K,FA
Justin Tucker,K,FA
Ka'imi Fairbairn,K,Texans
Lucas Havrisik,K,FA
Mason Crosby,K,FA
Matt Ammendola,K,FA
Matt Gay,K,Commanders
Matt Prater,K,Bills
Matthew Wright,K,FA
Michael Badgley,K,FA
Nick Folk,K,Jets
Nick Sciba,K,FA
Parker Romo,K,FA
Randy Bullock,K,FA
Riley Patterson,K,Dolphins
Ryan Fitzgerald,K,Panthers
Spencer Shrader,K,Colts
Tanner Brown,K,FA
Tyler Bass,K,Bills
Tyler Loop,K,Ravens
Wil Lutz,K,Broncos
Will Reichard,K,Vikings
Younghoe Koo,K,Falcons
Zane Gonzalez,K,FA
AJ McCarron,QB,Bengals
Aaron Rodgers,QB,Steelers
Aidan O'Connell,QB,Raiders
Andy Dalton,QB,Panthers
Anthony Brown Jr.,QB,FA
Anthony Richardson Sr.,QB,Colts
Bailey Zappe,QB,FA
Baker Mayfield,QB,Buccaneers
Ben DiNucci,QB,FA
Blaine Gabbert,QB,FA
Bo Nix,QB,Broncos
Brandon Allen,QB,Titans
Brett Rypien,QB,FA
Brian Hoyer,QB,Raiders
Brock Purdy,QB,49ers
Bryce Young,QB,Panthers
C.J. Beathard,QB,FA
C.J. Stroud,QB,Texans
Caleb Williams,QB,Bears
Cam Miller,QB,FA
Cam Ward,QB,Titans
Carson Strong,QB,FA
Carson Wentz,QB,Vikings
Case Keenum,QB,Bears
Chris Oladokun,QB,FA
Clayton Tune,QB,FA
Cooper Rush,QB,Ravens
Dak Prescott,QB,Cowboys
Daniel Jones,QB,Colts
Davis Mills,QB,Texans
Derek Carr,QB,Saints
Deshaun Watson,QB,Browns
Desmond Ridder,QB,FA
Devin Leary,QB,FA
Dillon Gabriel,QB,Browns
Dorian Thompson-Robinson,QB,FA
Drake Maye,QB,Patriots
Drew Lock,QB,Seahawks
Easton Stick,QB,FA
Gardner Minshew,QB,Chiefs
Geno Smith,QB,Raiders
Graham Mertz,QB,Texans
